CURP,nombre,paterno,materno,f_nac,calle,num,ciudad,CP
LOMU602509MNERWJ22,Abigale,Andersch,Gussin,1983-05-20,Lukken,3,Goteborg,11926
FUUM920842HZSBPJ27,Katy,Keepence,Winscum,1990-11-24,Talisman,88,Ganta,31736
BUMQ549428MNESKF56,Emmalynn,Brownrigg,Bolliver,1967-07-08,Anzinger,7,Leiguan,92873
JOSU777565HNESCW12,Kaitlin,Jouhning,Rainville,1978-05-11,Montana,5,Towa,29235
RIOD595459MYNBWZ55,Adriane,Duffell,Priver,1967-04-11,Montana,7,Santa Fe,73989
CUEG118892MZSHES38,Isobel,Seeds,Glynn,1975-04-13,Garrison,11,Diriomo,34503
IOCU572669HZSCZB70,Micheline,Skirven,Gommery,1965-08-22,Randy,605,Varzea da Serra,45290
VURB857060MVZIHN84,Robinson,Pibsworth,Mower,1974-10-12,Ramsey,4107,San Diego,36907
HOEU285587MZSZRO58,Reggi,Huggett,Ettridge,1990-11-27,Armistice,4880,Torbate Jam,90642
VIRM718903MNETNI53,Cathy,Simants,Lawie,1985-12-07,Del Mar,56,Ronglong,91919
CUMV180316HZSKUA44,Wolfie,Banke,McInerney,1994-08-28,Melrose,9,Guara,70575
ROSE687885HNEDXQ03,Richie,Stillert,MacPherson,1986-06-25,Evergreen,5,San Bernardino,24288
OUMB930364HZSMSU87,Hana,Burl,Bahde,1960-10-22,New Castle,3,Uiju,36589
COZM278619HTLVMR13,Rodrigo,Dautry,Plaster,1987-04-14,Rutledge,9782,Maji,99669
DUYW178260MNEDTZ12,Rosalia,Bassindale,Stealy,1984-07-28,Kings,543,Muang Phon Hong,59128
VUGS549945HNEBUY46,Quentin,Glasner,Kinavan,1974-02-14,Maryland,3974,Yangtan,36296
ROQA662777HNEQBV04,Basilius,Droghan,Ickov,1979-04-29,Golf View,9668,Austin,76484
TOUW755253HVZIST86,Gareth,Norker,Bretherton,1976-07-13,Welch,5780,Moravsky Pisek,29426
EOBF523921MNEUOE44,Fidelia,Coopper,Rude,1990-08-19,Sheridan,9064,Sishui,43140
AUTZ709921MVZJGE37,Bryna,Darragh,Rhymes,1994-03-03,Comanche,5199,Vila Nova de Milfontes,86079
QOSP050762MNEFGP37,Denys,Lerwill,Pitfield,1962-08-11,Dryden,2,Santo Anastacio,33692
MURQ573602MNETYE43,Laurette,Falla,Durbann,1989-08-23,Larry,309,Rozhnyativ,46797
HUOJ056750MVZJDZ99,Skip,Peltzer,Broadberrie,1988-03-28,Reindahl,2,Paris La Defense,21542
HUBZ486756MNEYXD62,Rory,Bindin,Di Ruggiero,1963-05-09,Russell,9507,Limbalod,98142
EIQP676915HYNMXR20,Stephani,Flieg,Rangall,1991-06-11,Forster,6,Fengle,90003
WABY745955MNEMGC77,Brit,Disley,Hamlin,1982-01-09,Sachtjen,4118,Amnat Charoen,16176
IUZO847540HZSTGN85,Dyane,Regnard,Giuron,1963-01-24,Washington,1904,Fangqiang,62203
XUTN296904MNEZBP02,Corie,Hollyer,Pervoe,1976-05-25,Morning,24,Fenglin,30728
CUXZ221953HZSMIE20,Fawnia,Borsay,Haith,1994-05-24,Cherokee,7,Ubaitaba,61601
VUGC158562HZSJYL69,Tracey,Hof,Wardhaugh,1990-07-07,Bashford,167,Santa Praxedes,83041
MURI215199MZSIXC33,Ivett,Seifenmacher,Flatley,1976-06-17,Moulton,47,Krasnapollye,58395
RONR972610HNEVKD10,Jerri,Stickney,Gossage,1964-03-15,Anderson,9978,Jianchang,89482
JUUQ291181MNEDJK77,Agathe,O Halligan,Pidgeon,1993-11-17,Hollow Ridge,30,Szczawno Zdroj,74981
IUBO964223MZSZOK49,Farand,Lochead,Cowan,1989-05-13,Annamark,1749,Munoz East,39080
ROZL131842HNEEZY42,Alexine,Chasemoore,Klimpt,1978-04-19,Roxbury,1,Imtarfa,75800
SUTG238928MNERNC56,Kimmy,Rowesby,Josling,1993-05-03,Bunker Hill,9,Hau Nghia,55523
UOYI253212HNEFHG11,Nikola,Throssell,Gaskin,1962-08-15,John Wall,280,Casa Nova,19965
JUHD613477MNESMJ81,Marj,Hartness,Hellier,1967-01-10,Annamark,75,Palmeira,74289
JOPY817942MZSJLK61,Cicily,McEwen,Osbaldeston,1971-05-24,Nevada,443,Qindu,27757
CUYH424673HQRQCI70,Base,Birtwistle,Hendriksen,1993-05-08,Sullivan,307,Pasarbaru,51306
COHX683798HNEUXQ71,Norris,Calcutt,Gosney,1985-10-05,Katie,2657,Huanglong,56318
RIAV341135MNEQUN13,Georgette,Squibbs,Tommei,1970-01-13,Bunker Hill,8,Gaohe,27611
NEJR854342MNECDB31,Efrem,Korb,Markova,1993-02-02,Almo,6221,Lhoknga,26511
ZUDQ341480HZSCZD95,Halli,Sweatman,Bamborough,1960-08-30,Vahlen,501,Tsuyama,81575
QUNX174647HTLEMF52,Rafe,Skoof,Briscam,1989-05-02,Carioca,6,Daegu,41551
QOBO356286MNESHA05,Brian,Reeder,Granham,1994-07-08,La Follette,153,Segbwema,41706
PUTV709408HZSINZ99,Karleen,Markwick,Follin,1983-05-01,Sutteridge,5530,Uralets,47742
UOEZ083441HZSZYS04,Hermione,Woof,Crick,1971-02-23,Melby,133,Kolape,24774
RUZU161303HZSXEK23,Shanna,Rigardeau,Earie,1977-10-07,Petterle,949,Pavlodar,63178
POWF512408HVZMOU85,Nataline,Gubbin,Gioani,1991-06-23,Green,2221,New York City,10113
SOIX662024HNEHQL76,Shelby,Thorp,Deluca,1973-01-02,Riverside,6914,Uwa,79537
QUJA955933MNENJV15,Randene,Dart,Dany,1975-08-09,Dottie,42,Karlstad,88592
QUXV217110MZSKSV04,Fonz,Thurgood,Schoolfield,1993-08-12,Upham,34,Minji,78572
YORC170790HNEGPB81,Stesha,Batisse,Agate,1988-06-26,Nova,5293,Dawuhan,38696
POTB842089MNEKGJ96,Hattie,Crummey,Francombe,1973-12-21,Helena,6410,Phimai,54941
HIQU681063MNEAJY43,Aprilette,Doughtery,Botley,1966-10-16,Reindahl,18,Virje,84051
MOJG852973HNETVI61,Cari,Poulsom,Mears,1981-04-19,Di Loreto,7,Austin,26905
MUUW534931HNENPX80,Aldon,Urlich,Crockett,1961-01-10,Pepper Wood,789,Fazhan,55872
NUGD844315HTLEIQ21,Yankee,Greenhill,Watsam,1983-06-24,Bellgrove,325,Kourou,54915
OIHB334852MTLDEH11,Wayland,Price,Elan,1984-10-06,Canary,997,Si Racha,41534
XOVE139297HNEPNK40,Erhart,Rapa,Wernher,1982-08-15,Rusk,7575,Decatur,90463
AULA051167HNEBVT62,Celesta,Dron,Boerderman,1971-04-12,Lerdahl,209,Cisagu,99573
GENJ106990MNERAY02,Alvie,Partner,Kibblewhite,1979-06-02,Kensington,21,Agrela,80870
QIBA620407HNEJCA05,Mellie,Livesey,Corkhill,1960-06-13,Jenna,1694,Akkol,10637
HILG813889MZSVBK60,Valentine,Duligal,Jarman,1992-06-08,Arrowood,50,Kebonagung,20657
UEMY021783MYNYSN76,Franzen,Brummell,Lawton,1994-10-14,Heffernan,735,Mushie,32043
RIUM566004MNEMIG48,Weidar,Bleby,Stockman,1994-07-02,Macpherson,2,San Eduardo,55323
BIED335871MZSCFZ12,Daniela,Oxlee,Harbage,1986-08-23,West,3449,Aracaju,15540
FOFC958597MVZPYM80,Shayna,Odell,Biddlecombe,1989-01-24,Cascade,4084,Macapa,60776
EIPM822397MNERHL09,Spenser,Grushin,Bottom,1979-07-06,Buell,9785,Binhe,60401
POQK982498MZSEVZ30,Javier,Palatini,Waplington,1963-12-29,Bonner,96,Goge,49475
NOYW858164HZSMSJ59,Alaine,Kenna,Kuller,1975-06-08,Hollow Ridge,8992,Senj,69043
JOGE000151MZSGWT84,Jerry,Temperton,Taggart,1969-12-03,Stephen,55,Batusangkar,78696
FUNS708028MYNJPK58,Ely,Salterne,Clemerson,1977-02-18,Portage,4671,Bringinanom,53392
DUFA262965HNEHBG84,Pryce,Coenraets,Tunniclisse,1975-04-04,Walton,13,Hermanus,81797
CAGY219606HZSGOB93,Prince,Warman,Leyland,1980-04-07,Arapahoe,23,Las Yaras,38379
NICS674841MYNYUQ68,Tamas,Betjes,Jorissen,1990-05-08,Glacier Hill,5,Tshaneni,53519
PUJS856364MNENDK81,Sula,Gallant,Philott,1980-05-05,Arapahoe,9864,Yunmenling,28489
TEVQ541669HYNEUF50,Celestina,Aimson,Canner,1971-10-02,Loeprich,9,Hepingjie,48615
VUIE999411HNEPRE19,Merrie,Deluca,Andrivel,1984-09-02,Cordelia,911,Crniliste,79191
YUQY445901HYNDCZ57,Mannie,Andrivot,Jonke,1989-04-08,Hagan,6100,Masaguisi,93419
QUHZ712879MNEBTE67,Byron,Gainseford,Bourdon,1984-09-24,Mallory,6551,Sopo,57258
YUBM765949HNEDOU42,Nicola,Gambell,Totton,1967-06-02,Armistice,4,Damayan,74526
JUHQ598756MNELVJ60,Cynde,Renault,McKinn,1963-02-05,John Wall,8996,Osorno,57144
VAOB080478MNEZLB51,Bo,Scrivenor,Frossell,1980-02-29,Moose,43,Xiongguan,12211
BUOG587613HZSFEX39,Eddy,Aveline,Keel,1970-07-19,Bunting,1827,Sao Filipe,54904
GUZC834242MTSBXJ56,Lanie,Clyburn,Roux,1976-08-15,Cody,5730,Poroshkovo,80420
WUKO194296HYNLQA31,Nanni,Borg Bartolo,Trousdale,1963-05-23,American Ash,34,Kratie,73244
TURP626853MZSELJ14,Fons,Hadcock,Lempke,1981-12-23,Center,1551,Hengpi,40779
SULD218410HZSGAZ14,Renard,Cowcha,Landes,1969-09-27,Oneill,7,Marcovia,42207
YUAU798887HTLUBM08,Georgena,Stansbury,Lovel,1990-04-16,Nancy,9,Maukaro,20147
UUIS548272HNEHLC68,Fina,Kinnin,Ulyat,1960-11-27,Del Mar,9849,Hroznetin,29935
ROQZ624085MYNUIL94,Mic,Blazevic,Pickin,1988-06-13,Anderson,9,Roshchino,79458
QUAU821227MNEXAI35,Clea,Gare,Jarnell,1974-06-19,John Wall,28,Altamira,65482
MIJD674262HZSQDS17,Gerri,Zeale,MacTerlagh,1971-06-16,Scofield,62,Muraharjo,44998
UUIA485357HYNHCG41,Normy,Sawfoot,De Freitas,1989-10-31,Northridge,1431,Ekou,97014
OOMN485031MYNBXI97,Inglebert,Hyndman,Ghidetti,1990-01-25,Shoshone,6182,Okinawa,43591
JIIJ370026MNEKNG43,Quint,Francillo,Evers,1979-05-17,Debs,1491,San Antonio,32025
TUEK831553HNEQAT94,Langston,Hansed,Dunston,1984-10-14,Petterle,69,Claremorris,49918
WOIW782029MYNPRF90,Brandy,Solly,Schimon,1993-12-15,Karstens,8141,Perpignan,39864
NAEX873421MVZBEY17,Shirlee,Moyers,Castree,1968-10-11,Nova,758,Sycow,72244
WUKN139398HNEHRF22,Jacinthe,Ogus,Sitford,1968-07-20,Fordem,641,Elekmonar,21711
OUZR128584MYNKIY11,Frants,McCrae,Follis,1980-04-09,Lindbergh,8,Lawrenceville,23519
QAEY602919HZSLYK82,Zandra,Kestian,Harrema,1992-07-04,Porter,5028,Maszkienice,42137
IUGU524421MZSIOR81,Caralie,Deeprose,Caruth,1969-11-18,Buena Vista,19,Yuecheng,39556
ZIDF967574MZSIEN96,Vanessa,Prys,Sekulla,1967-12-22,Old Shore,1177,Muyuzi,40285
AUCU355136MNETGK57,Fay,Kubacki,Gable,1982-04-06,Bartelt,11,Sandefjord,98370
UUQR969667HYNWVP52,Miran,Glass,Gilstin,1990-04-20,Johnson,88,Benito Juarez,19829
FUDK140437HNEYUV65,Ruby,Furness,Power,1965-11-13,1st,563,El Canton,58266
AUTF938005MYNDSV46,Brnaby,Tully,Casburn,1993-03-16,Northview,8,Sidon,59853
AUJO052735HNEBPN29,Malachi,Cramond,McInnerny,1994-06-22,Dawn,6864,Tsagaan Owoo,14440
PUPV560870HNEAXB17,Alfie,Piddocke,Farbrother,1969-03-25,Sunbrook,4356,Horana South,24910
OUWD936329HNETME76,Howard,Leyshon,VanBrugh,1966-03-13,Golf Course,51,Jagodnjak,92434
JOFS008828MNEQSR17,Angelica,Borzoni,Siggs,1983-04-28,Mayfield,3143,Delaes,88987
HORX802171HYNVLZ07,Erl,Fieldgate,Agirre,1968-02-20,Fisk,6737,Ngangpo,70539
DAVI586484MNEIXU97,Shaine,Barth,Conichie,1986-08-21,Troy,7,Longgang,81051
WUSG859629MZSUDR68,Ettore,Cases,Richen,1990-11-12,Briar Crest,71,Kalymnos,42767
VAYL654937MZSTCX15,Hatti,Beal,Darell,1992-09-04,Talmadge,5514,Yonggwang up,13918
WOSQ228309MVZXDI96,Jasmin,Huband,Claxson,1976-11-02,Dixon,2,Nuradilovo,66977
LUBT596794HZSUML07,Viviene,Colegrove,Caisley,1994-09-22,Myrtle,9430,Guankou,16980
UUZV018762HNEIGS31,Cliff,Drakes,Hrinchishin,1962-02-16,Maple Wood,3,Musa Qalah,13716
HUQP342498HNEGRS38,Curry,Shoesmith,Chisolm,1977-10-18,Homewood,5,La Breita,99528
BUYM302511MTLCXV51,Paddie,Klais,Pencot,1963-07-10,Myrtle,14,Ukhta,59387
VOSZ719673HNEMUN53,Ripley,Naismith,Ghirigori,1964-04-23,Westport,20,Tayginka,85279
IUGY996580MYNHGQ16,Trixie,Richmond,Fateley,1960-01-10,Grayhawk,20,Prokopyevsk,44036
PUWP295061HNEQHT85,Karola,Crop,Blooman,1983-09-17,Raven,39,Beverwijk,31943
UOOH011221MVZOHX87,Yvonne,Quilty,Newman,1964-06-22,Tennessee,1350,Mykolayiv,43190
MUKP748679MNEEYC80,Lynnell,Jallin,Lund,1969-07-20,Magdeline,46,Kuangsan,80658
UUMK834037HTCSIN07,Sela,Mulholland,Lillicrop,1991-03-05,Hudson,597,Marseille,86008
HUHO149358MZSPGH49,Garrott,Brugmann,Sweetlove,1972-06-28,Delladonna,3519,Zelesice,71562
BOND756214MZSWCF64,Rea,Richardt,Balden,1978-04-19,Blackbird,2,Las Palmas,29290
QUDE016769MNEEXQ63,Simeon,Thorowgood,Newlan,1982-07-06,Anhalt,23,Bulan,98011
KUZH807904MNEVWQ90,Frances,Gager,Tonbye,1984-04-22,Kedzie,4686,Taozhuang,74596
DODP133905HZSIZH40,Perren,Reedshaw,Burwood,1978-02-25,Springs,37,Ape,27595
XONF127990HNEQSM81,Archibald,Tenbrug,Bowdon,1964-11-20,Homewood,54,Nagoselo do Douro,89553
PINP139118HZSRPW88,Torin,Larratt,Jardine,1987-04-13,Scoville,5256,Dongguang,99063
TIML384269MYNWRB60,Lucius,Cessford,Reap,1994-12-04,Warbler,141,Kebonagung,85967
FUQM420645MNEDNL52,Winona,Finessy,Grafton,1984-11-25,Clove,2577,Huquan,57908
UOJX227056HYNMHL33,Flin,Klima,Dunridge,1992-05-03,Vermont,853,Cabay,24024
TUFJ767771HYNECR90,Sarita,Dampier,Strode,1976-02-02,Spohn,30,Lezhu,20340
DUIC134523HZSKPE70,Marni,Ashburner,Fredson,1974-07-18,Erie,491,Saryaghash,14433
BOSW859742MNEQKL80,Keefe,Tatersale,Seak,1984-09-20,Russell,46,Padangtepung,14394
CUOX739224HNEZWX04,Gigi,Delahunt,Bermingham,1965-08-02,Northland,3067,Saint Amand les Eaux,35738
DIPB500231MYNHZL09,Florence,Weakley,Dessaur,1991-05-18,Mariners Cove,384,Kholbon,42524
ZUIH145037HVZORZ42,Danice,Bitcheno,Nolan,1965-02-08,Arapahoe,986,Estrada,22138
SUQK717907HZSPHR63,Brodie,Flaws,Joincey,1979-04-01,Eggendart,227,Paris ,74874
CEVA185533MVZYCO81,Gilly,Rayment,Mehaffey,1984-07-05,Sycamore,23,Dasiping,51306
RUZF354046MNEEBW67,Tawsha,Sowersby,Lartice,1964-12-06,Dahle,6597,Diamantina,91635
TUPS493772HZSPNL22,Kelila,Ducastel,Signorelli,1961-10-28,Donald,976,Xiangquan,52602
WORB381144MNEKID91,Worthington,Archbould,Aluard,1973-11-24,Nelson,830,Al Qamishli,97094
YUEX427846HNEDQY72,Isadora,Andriveau,Kopps,1965-01-17,Jay,403,Treinta y Tres,28667
RIVU715797MNEXRS19,Brianna,Bambridge,Caw,1976-03-10,Springs,84,Chavdar,26862
QOYG080099HYNVEQ48,Curr,Lethem,Hardinge,1978-01-11,Independence,9,Altos,81340
ZUWC241594MNEEOJ90,Caroline,Levecque,Moar,1968-03-05,Mayfield,7,Baqiu,90893
NUBD648649MNEIGC86,Thibaut,Bather,MacAindreis,1990-11-24,Ridgeway,371,Nangan,60290
KAZN446770MZSENQ08,Peter,Kringe,Jennions,1991-08-22,Milwaukee,1,Wuerqihan,91951
ROID373300MNEKWD01,Hendrick,Larrington,Gair,1987-10-13,Hauk,4,Capitan Bermudez,25227
HASB655045HZSHLF29,Sharla,Baynton,Auckland,1986-03-09,Lunder,4605,Wenceslao Escalante,61006
NUNZ771193HNEDIA39,Anne corinne,Dyment,Pallant,1966-08-13,Macpherson,9717,Sutton,14854
GOOX625542HZSZOT91,Fitzgerald,Cromarty,Kochlin,1976-03-03,David,2726,Ano Mera,79131
XEJM453591MNEGOT13,Faunie,Robinson,Davis,1990-08-17,Macpherson,68,Cikiray,52410
EIJY178366HNEAYG69,Engracia,Van Der Weedenburg,Hardeman,1965-02-26,Mcbride,19,Samut Prakan,52203
CUTE456498HYNZUR25,Margalit,McKeller,Stollenbecker,1978-07-24,Rigney,4165,Cristobal,49464
EUWL957464MNEQLO91,Werner,Jacks,Winnister,1977-03-31,Texas,5295,Mataya,48004
LEBG773916MNEKSN63,Deane,Evanson,Grigorkin,1969-07-14,Maple,9210,Al Majaridah,92397
QOPR588909MNEUSB49,Jamey,Greggersen,Diable,1994-06-14,Wayridge,1238,Ashkasham,81136
RUNR986577MNEBLZ55,Shane,Lappin,Oneil,1963-06-04,Mcbride,9,Zouila,75847
TUEZ466235HNEVED48,Herc,Ghiriardelli,Edmondson,1979-04-13,Marquette,8267,Makinsk,40905
PIDX649739MNEYCI54,Marjory,Raspison,Percy,1966-09-08,Dottie,6447,Forestville,95704
RUOT455775HYNOPL26,Leonid,Stollsteimer,Pengelley,1962-03-28,Pleasure,56,Sumberbakti,42120
CAWR599041HNEDVY39,Iona,Tellenbach,Ubanks,1989-07-10,Corry,13,Caetite,31270
WULA265216MNEQSP78,Ewan,Champney,Cantrill,1984-05-16,Beilfuss,2259,Yakovlevo,36257
MIZF054274MNEALJ60,Pauly,Langsbury,Dearell,1961-02-09,Mifflin,4279,Dongxi,32968
AUDO257722HZSCPZ39,Kathe,Rapson,Scolland,1986-05-19,Macpherson,288,Dongbei,54595
JUEZ216840HNECUK25,Dela,Jameson,Dwight,1980-02-28,Riverside,31,San Juan Atitan,80279
CUYS353386HZSAUR26,Rod,Kempe,Chupin,1987-06-28,Mockingbird,9,Pokrovskoye,95308
DEGM341089MVZGIB23,Glory,Geeves,Joyce,1971-06-09,Dexter,62,Celadna,33349
WIRD395950HZSLBX06,Urbain,Schwanden,Kennefick,1967-10-05,Anderson,9,Yangxunqiao,75308
AOLG974141HZSDBX92,Elbert,Perello,Chatters,1974-03-07,Reindahl,752,Caijiang,24605
RUBU742867HNELTF42,Mair,Lynam,Sapey,1964-04-09,Eastwood,3204,Cigarogol,57688
AOXI694766HNESXH17,Raeann,Sidgwick,Jumeau,1981-12-15,Nobel,87,Neiba,82676
XOPK125144MNEALK66,Dorine,Dovey,Oxbe,1993-07-07,Kennedy,596,Nakhon Ratchasima,69845
FUEW177220HTCYGB10,Pietrek,Shepton,Bernaert,1963-10-15,5th,554,Sing Buri,37275
NONL376124MYNKLF44,Ebony,Mangan,Skeates,1981-08-27,Kedzie,92,Gotse Delchev,33067
PIPN757057MVZRHC14,Phineas,Ducarel,Tebbit,1970-12-17,Elgar,6637,Muesanaik,91811
EUBY771832HZSHXE59,Carmel,Hitter,Elijah,1992-05-25,Dapin,5345,Khost,96297
UEDS068853HNECMP38,Carley,Paireman,Menlow,1971-04-15,Carioca,5602,Hezuoqiao,96834
FEWU220728HTLVJE55,Germana,Muck,Varley,1978-08-08,Fairfield,798,Kvasice,95589
CUDV469697MYNNKC53,Levon,Pinson,Cisneros,1986-01-14,Butternut,5283,Yug,94926
