CURP,RFC,fecha_ingreso,salario
VUGC158562HZSJYL69,WOED235362IY8,2016-12-11,$5324.93
MURI215199MZSIXC33,KOWB650129VS6,2017-09-13,$2472.49
RONR972610HNEVKD10,KOZC593287KJ4,2018-03-27,$7349.52
JUUQ291181MNEDJK77,GODF055695DX9,2017-07-25,$6075.28
IUBO964223MZSZOK49,DUQE768709WH2,2016-12-10,$6079.64
ROZL131842HNEEZY42,AUWF146784MT8,2016-10-10,$8261.92
SUTG238928MNERNC56,MUEK003925IU8,2018-07-05,$8924.49
UOYI253212HNEFHG11,OUZX974528PA7,2015-03-23,$7936.63
JUHD613477MNESMJ81,XOQD459393HJ0,2017-09-01,$2244.16
JOPY817942MZSJLK61,UOCQ961816CD6,2016-06-05,$2906.00
CUYH424673HQRQCI70,AUHS459239NT1,2018-07-06,$3704.01
COHX683798HNEUXQ71,YIQS526745VC9,2017-04-12,$4840.00
RIAV341135MNEQUN13,ZIBI569183ES6,2018-02-03,$8971.40
NEJR854342MNECDB31,JUVA999121UG7,2018-03-01,$6037.08
ZUDQ341480HZSCZD95,ZOWK199647DS1,2017-09-25,$2666.62
QUNX174647HTLEMF52,JUUK986976RP1,2017-05-14,$8084.23
QOBO356286MNESHA05,ROWY582510GJ2,2017-08-19,$7949.79
PUTV709408HZSINZ99,DUNS309744MY2,2015-09-28,$3013.86
UOEZ083441HZSZYS04,HEJH712782KD3,2017-03-20,$8217.20
RUZU161303HZSXEK23,BOWQ689000YP1,2015-03-05,$4324.73
POWF512408HVZMOU85,UUUI326180DF8,2017-12-19,$6782.20
SOIX662024HNEHQL76,VUHL028998RO5,2016-09-21,$7202.17
QUJA955933MNENJV15,DUXG314522YH8,2015-05-04,$5388.39
QUXV217110MZSKSV04,PUXL036650OF2,2018-07-15,$3405.71
YORC170790HNEGPB81,KICZ585799KM5,2017-07-01,$6244.24
POTB842089MNEKGJ96,LUFL129220JQ7,2018-09-16,$3807.00
HIQU681063MNEAJY43,IUTY773652SG6,2016-08-29,$3121.41
MOJG852973HNETVI61,AUVX070400PG8,2015-03-03,$5468.68
MUUW534931HNENPX80,REWJ526488SB9,2017-07-29,$6075.24
NUGD844315HTLEIQ21,SUCL465717HE4,2015-08-25,$2837.94
OIHB334852MTLDEH11,BITR746068AU9,2016-05-07,$5355.65
XOVE139297HNEPNK40,BIHR592094PI5,2014-11-15,$5202.29
AULA051167HNEBVT62,YUNM543473EO7,2017-11-27,$6723.54
GENJ106990MNERAY02,LOUZ278528FN5,2018-07-10,$4595.62
QIBA620407HNEJCA05,PAVT091003YV1,2015-11-16,$3406.47
HILG813889MZSVBK60,IIKB100592XG4,2015-08-09,$5941.82
UEMY021783MYNYSN76,ZOQM449983DP7,2018-07-12,$3233.51
RIUM566004MNEMIG48,RIHK121705XT6,2015-12-11,$4728.19
BIED335871MZSCFZ12,MOCU168474NZ3,2016-12-30,$7294.01
FOFC958597MVZPYM80,WUKX892520JD7,2018-07-19,$2649.86
EIPM822397MNERHL09,TEOS969482OH0,2016-06-25,$3737.65
POQK982498MZSEVZ30,WUKM141057FN8,2016-11-01,$3459.93
NOYW858164HZSMSJ59,DOHC472307LS9,2018-09-13,$6819.03
JOGE000151MZSGWT84,EUMO955873GX1,2016-05-02,$6019.36
FUNS708028MYNJPK58,RIXW045170XN6,2016-12-02,$6928.40
DUFA262965HNEHBG84,ZUQE815065LZ9,2015-08-15,$8350.17
CAGY219606HZSGOB93,MUKR675375NC5,2018-07-31,$4381.25
NICS674841MYNYUQ68,BOJA673760GS3,2016-07-07,$3342.28
PUJS856364MNENDK81,DEWH268806NR5,2018-06-23,$8705.31
TEVQ541669HYNEUF50,COSH865735NH0,2015-10-13,$2690.11
VUIE999411HNEPRE19,TUND293325ZG0,2015-01-02,$3628.77
YUQY445901HYNDCZ57,FIAV141431QJ2,2016-04-02,$3668.15
QUHZ712879MNEBTE67,JEMD005126ZI5,2017-02-09,$6792.46
YUBM765949HNEDOU42,CEPQ170988RV7,2016-11-19,$3038.77
JUHQ598756MNELVJ60,TUVI745406XS8,2015-04-21,$4284.45
VAOB080478MNEZLB51,WULY471964BP3,2017-08-10,$2636.11
BUOG587613HZSFEX39,GONR568504RG7,2016-04-09,$7857.32
GUZC834242MTSBXJ56,TAUL472727HM6,2015-04-18,$4681.07
WUKO194296HYNLQA31,LAXF026575FD4,2018-08-03,$5997.65
TURP626853MZSELJ14,XUNV692743EL6,2017-04-30,$8331.68
SULD218410HZSGAZ14,AIVW495858TP8,2018-09-13,$2113.18
YUAU798887HTLUBM08,GOAK453379RD7,2015-07-11,$6108.98
UUIS548272HNEHLC68,LUQZ435592KY8,2018-09-15,$7962.80
ROQZ624085MYNUIL94,CEQT020635XP9,2015-03-29,$7143.10
QUAU821227MNEXAI35,HOWQ580779GP9,2016-05-10,$6879.53
MIJD674262HZSQDS17,ZUIU100377PD9,2016-01-16,$8342.14
UUIA485357HYNHCG41,FUPW244479UJ5,2018-07-24,$5045.84
OOMN485031MYNBXI97,IUGR503105RT9,2016-05-28,$4866.06
JIIJ370026MNEKNG43,WUJK340812FB9,2018-10-16,$2973.18
TUEK831553HNEQAT94,UUBE078823ML1,2016-10-14,$2802.93
WOIW782029MYNPRF90,MUXR042640UI2,2017-03-01,$3210.76
NAEX873421MVZBEY17,BUMB579386EN1,2016-02-12,$5718.53
WUKN139398HNEHRF22,HEJY791725PC4,2016-01-27,$7315.98
OUZR128584MYNKIY11,EEUV346394LA8,2018-09-25,$4335.05
QAEY602919HZSLYK82,MOQO580337VK0,2016-07-31,$6557.02
IUGU524421MZSIOR81,RUNE461476TS9,2018-01-31,$2471.44
ZIDF967574MZSIEN96,EUEV461889BD5,2016-07-10,$8891.72
AUCU355136MNETGK57,GAGS843136PY6,2018-09-22,$4869.08
UUQR969667HYNWVP52,EUXV232594RO1,2016-04-10,$2804.95
FUDK140437HNEYUV65,BUZB339509SX6,2016-10-20,$7449.16
AUTF938005MYNDSV46,CUKI194804UW4,2015-06-11,$4051.81
AUJO052735HNEBPN29,JILI292579UY6,2015-06-23,$6288.92
PUPV560870HNEAXB17,MUZL436243RV3,2015-06-01,$7869.21
OUWD936329HNETME76,IEBV647414ZK4,2017-12-10,$7560.67
JOFS008828MNEQSR17,RUAZ253180IL0,2015-10-03,$5789.67
HORX802171HYNVLZ07,GOPV470874IX9,2017-05-03,$7775.80
DAVI586484MNEIXU97,FOLE160568DI9,2016-12-23,$7728.47
WUSG859629MZSUDR68,IEPQ867794MS6,2015-02-06,$8258.12
VAYL654937MZSTCX15,TELR897908PK4,2017-11-07,$3649.30
WOSQ228309MVZXDI96,MUMA041664FN6,2018-05-15,$8791.85
LUBT596794HZSUML07,JUBN919664KF7,2017-06-13,$6645.85
UUZV018762HNEIGS31,YUYJ226819BX5,2017-05-10,$6820.87
HUQP342498HNEGRS38,JUZQ607662MU8,2016-09-14,$5451.63
BUYM302511MTLCXV51,HOTC824866YG8,2015-01-19,$6661.95
VOSZ719673HNEMUN53,BAWH739537IO1,2015-07-04,$4326.04
IUGY996580MYNHGQ16,TOBM242302DM0,2016-09-28,$8257.16
PUWP295061HNEQHT85,FUUQ846093VN4,2015-11-05,$4224.03
UOOH011221MVZOHX87,NUDN563174BQ3,2018-08-07,$8344.43
MUKP748679MNEEYC80,RUIH670388TD9,2015-08-31,$3735.02
UUMK834037HTCSIN07,RUEY739867PI5,2015-09-15,$7579.13
HUHO149358MZSPGH49,WOED235362IY8,2016-05-07,$6639.41
BOND756214MZSWCF64,KOWB650129VS6,2016-04-25,$6984.58
QUDE016769MNEEXQ63,KOZC593287KJ4,2017-10-22,$8674.43
KUZH807904MNEVWQ90,GODF055695DX9,2016-11-13,$2808.86
DODP133905HZSIZH40,DUQE768709WH2,2018-09-09,$3581.10
XONF127990HNEQSM81,AUWF146784MT8,2016-05-12,$4651.54
PINP139118HZSRPW88,MUEK003925IU8,2016-02-14,$7313.44
TIML384269MYNWRB60,OUZX974528PA7,2018-03-19,$4009.27
FUQM420645MNEDNL52,XOQD459393HJ0,2017-05-07,$5570.77
UOJX227056HYNMHL33,UOCQ961816CD6,2015-10-27,$6635.49
TUFJ767771HYNECR90,AUHS459239NT1,2017-08-04,$4705.53
DUIC134523HZSKPE70,YIQS526745VC9,2014-12-29,$7247.61
BOSW859742MNEQKL80,ZIBI569183ES6,2014-12-04,$2704.92
CUOX739224HNEZWX04,JUVA999121UG7,2017-05-18,$6041.07
DIPB500231MYNHZL09,ZOWK199647DS1,2016-04-04,$5282.10
ZUIH145037HVZORZ42,JUUK986976RP1,2014-11-10,$6446.02
SUQK717907HZSPHR63,ROWY582510GJ2,2015-10-04,$4137.25
CEVA185533MVZYCO81,DUNS309744MY2,2016-03-25,$7496.37
RUZF354046MNEEBW67,HEJH712782KD3,2018-06-05,$4701.24
TUPS493772HZSPNL22,BOWQ689000YP1,2016-02-18,$2037.76
WORB381144MNEKID91,UUUI326180DF8,2016-06-06,$4665.71
YUEX427846HNEDQY72,VUHL028998RO5,2016-06-18,$6347.23
RIVU715797MNEXRS19,DUXG314522YH8,2017-05-31,$5593.56
QOYG080099HYNVEQ48,PUXL036650OF2,2017-11-17,$2851.29
ZUWC241594MNEEOJ90,KICZ585799KM5,2017-06-22,$4803.45
NUBD648649MNEIGC86,LUFL129220JQ7,2017-09-13,$5372.56
KAZN446770MZSENQ08,IUTY773652SG6,2016-05-25,$3786.53
ROID373300MNEKWD01,AUVX070400PG8,2018-03-16,$4027.43
HASB655045HZSHLF29,REWJ526488SB9,2018-01-05,$7656.88
NUNZ771193HNEDIA39,SUCL465717HE4,2016-03-25,$6341.35
GOOX625542HZSZOT91,BITR746068AU9,2014-12-01,$4868.46
XEJM453591MNEGOT13,BIHR592094PI5,2018-01-30,$3433.39
EIJY178366HNEAYG69,YUNM543473EO7,2015-04-19,$8243.92
CUTE456498HYNZUR25,LOUZ278528FN5,2016-09-20,$6341.47
EUWL957464MNEQLO91,PAVT091003YV1,2015-03-01,$2415.30
LEBG773916MNEKSN63,IIKB100592XG4,2015-04-22,$2343.89
QOPR588909MNEUSB49,ZOQM449983DP7,2016-10-13,$4147.49
RUNR986577MNEBLZ55,RIHK121705XT6,2017-07-28,$4458.77
TUEZ466235HNEVED48,MOCU168474NZ3,2016-01-21,$2575.52
PIDX649739MNEYCI54,WUKX892520JD7,2015-04-13,$7267.90
RUOT455775HYNOPL26,TEOS969482OH0,2016-02-28,$4566.31
CAWR599041HNEDVY39,WUKM141057FN8,2015-03-13,$8682.12
WULA265216MNEQSP78,DOHC472307LS9,2015-02-02,$6552.46
MIZF054274MNEALJ60,EUMO955873GX1,2017-08-18,$2399.55
AUDO257722HZSCPZ39,RIXW045170XN6,2017-01-06,$4963.44
JUEZ216840HNECUK25,ZUQE815065LZ9,2017-07-04,$4163.90
CUYS353386HZSAUR26,MUKR675375NC5,2016-07-28,$6078.83
DEGM341089MVZGIB23,BOJA673760GS3,2018-10-20,$8963.96
WIRD395950HZSLBX06,DEWH268806NR5,2018-10-02,$6388.30
AOLG974141HZSDBX92,COSH865735NH0,2016-01-11,$2339.76
RUBU742867HNELTF42,TUND293325ZG0,2015-02-24,$8749.89
AOXI694766HNESXH17,FIAV141431QJ2,2015-06-21,$6447.12
XOPK125144MNEALK66,JEMD005126ZI5,2017-08-12,$7142.36
FUEW177220HTCYGB10,CEPQ170988RV7,2017-05-22,$2067.97
NONL376124MYNKLF44,TUVI745406XS8,2014-11-14,$4747.72
PIPN757057MVZRHC14,WULY471964BP3,2016-12-25,$6332.02
EUBY771832HZSHXE59,GONR568504RG7,2018-04-11,$7850.82
UEDS068853HNECMP38,TAUL472727HM6,2014-11-11,$8011.08
FEWU220728HTLVJE55,LAXF026575FD4,2015-02-18,$7160.64
CUDV469697MYNNKC53,XUNV692743EL6,2015-04-14,$3223.14
KEHJ617505HNEYTM74,AIVW495858TP8,2015-07-24,$5752.42
MIIS468069HNEAIF25,GOAK453379RD7,2017-10-28,$4997.84
JUKN835396MVZFSU98,LUQZ435592KY8,2018-04-16,$6065.48
TUAX548976HYNQEB97,CEQT020635XP9,2016-06-14,$3974.42
WODT118293HZSJYB04,HOWQ580779GP9,2015-09-09,$2437.91
ZUDX512307HNELYI71,ZUIU100377PD9,2015-08-19,$8416.89
JUJK017989MZSESO96,FUPW244479UJ5,2016-01-18,$6773.80
AUMP579705HZSTZH10,IUGR503105RT9,2016-04-23,$7888.45
ZUHK504860MYNUSX55,WUJK340812FB9,2016-09-25,$7437.22
GUCI545430HNEMGB01,UUBE078823ML1,2014-11-11,$4587.65
PUJM189658MNEBCQ13,MUXR042640UI2,2016-11-27,$6209.66
RUAV563647MNEVMC08,BUMB579386EN1,2018-03-10,$3526.81
OIQK922565HNECAO19,HEJY791725PC4,2016-04-09,$4878.23
ZUGI811977MYNPSB35,EEUV346394LA8,2015-03-03,$8705.26
KUPS124980MYNUME65,MOQO580337VK0,2016-10-26,$5029.90
MUWD146214HNEQTM35,RUNE461476TS9,2016-03-18,$8353.10
NUJQ056496HNEVQI49,EUEV461889BD5,2018-10-31,$8932.81
XOAP073451MNEEVA42,GAGS843136PY6,2018-06-22,$2204.98
MIKQ861253MZSHQM28,EUXV232594RO1,2016-07-25,$7178.14
WUAE058209HZSDUN20,BUZB339509SX6,2015-05-23,$3062.12
OEYM547454HZSMUD94,CUKI194804UW4,2017-03-23,$2564.64
KUEQ567084MZSBEZ16,JILI292579UY6,2016-08-11,$3500.71
JUVR468368MNEDNC92,MUZL436243RV3,2017-08-24,$5652.88
OUBY901683HNEMWI47,IEBV647414ZK4,2017-04-23,$2553.70
SUGB948302MYNWZJ42,RUAZ253180IL0,2017-06-01,$5280.36
JUNW360053MNEQGK64,GOPV470874IX9,2015-12-04,$6308.15
UUHM355019MNELIP46,FOLE160568DI9,2016-03-30,$4785.97
YUKM930949HYNNIR28,IEPQ867794MS6,2016-06-15,$7976.67
PUJF172190HVZXGY33,TELR897908PK4,2016-12-18,$8821.52
WUTR347841HZSABQ01,MUMA041664FN6,2018-08-02,$3286.40
TUIU594356HTLUYT29,JUBN919664KF7,2016-03-12,$3431.57
XURY165640MYNDLF18,YUYJ226819BX5,2017-02-26,$3735.63
CIDR221018MVZERV78,JUZQ607662MU8,2014-12-12,$7950.81
VIZW773380MZSWVY35,HOTC824866YG8,2018-03-01,$5333.08
ZAAW985118HNEMFE99,BAWH739537IO1,2017-02-19,$4230.48
VOZR505862MNEXYL69,TOBM242302DM0,2016-08-15,$3035.54
UUCP741769HVZQMB08,FUUQ846093VN4,2015-09-12,$2024.10
AOVA277125MNELSF71,NUDN563174BQ3,2015-08-26,$3495.74
XIUW842198HZSLVW27,RUIH670388TD9,2018-05-29,$3409.59
QIUY404324MNENBT63,RUEY739867PI5,2018-07-16,$7712.89
JUAZ526048MNEMDT76,WOED235362IY8,2016-09-13,$3058.45
NOZU436254MNEBLH46,KOWB650129VS6,2018-04-21,$6394.58
KUFY957301HNEAWC71,KOZC593287KJ4,2016-03-18,$7633.77
YAAM670952HNETJO86,GODF055695DX9,2015-04-17,$3982.03
EOWK580694HTLQFW10,DUQE768709WH2,2014-12-20,$4371.20
LIPU077456HZSHGX56,AUWF146784MT8,2018-10-21,$2927.91
YIWU904885HZSUHP35,MUEK003925IU8,2016-12-18,$6064.31
FALV121476MNESHC27,OUZX974528PA7,2018-05-24,$5017.42
FIFU656454MYNNRZ15,XOQD459393HJ0,2015-11-23,$3572.52
WUUB523443MNENGB29,UOCQ961816CD6,2015-03-29,$6107.81
IIXP069473HNEEJL15,AUHS459239NT1,2018-02-24,$2723.23
JUIX759746HNEKSI83,YIQS526745VC9,2015-05-19,$3720.01
PEAQ854102MNEWIL30,ZIBI569183ES6,2016-06-29,$5070.44
IUPZ110676MSRHCV73,JUVA999121UG7,2016-04-22,$6164.25
YUEI352830HZSNMG78,ZOWK199647DS1,2015-08-15,$4471.06
QEKV580014HZSIUZ84,JUUK986976RP1,2017-07-29,$5565.20
BOLB398562HYNEZM62,ROWY582510GJ2,2015-01-28,$8602.85
MUIL926292MZSKRZ87,DUNS309744MY2,2015-09-29,$8982.73
ZIYK790835MNEDHI93,HEJH712782KD3,2017-03-18,$6254.35
IOPN927095MYNSMO51,BOWQ689000YP1,2016-09-17,$4456.99
LOGR383909HTSUFR37,UUUI326180DF8,2016-12-01,$3471.44
VOLJ020263MZSOIH29,VUHL028998RO5,2017-03-27,$5316.42
IUWN533336HNECTX27,DUXG314522YH8,2017-01-07,$8565.84
TIJL701777HVZICS03,PUXL036650OF2,2014-11-24,$8309.14
OODT838335MNEOMH25,KICZ585799KM5,2018-08-27,$6089.55
JORE196435MZSJQV14,LUFL129220JQ7,2018-10-05,$8051.29
TUTH634489HYNZQI86,IUTY773652SG6,2017-05-12,$3045.64
ZUUK562435MNEYBC43,AUVX070400PG8,2017-11-13,$4443.96
SOEC847079HZSSKI18,REWJ526488SB9,2015-10-14,$2198.02
YIUD726597HYNFZC21,SUCL465717HE4,2016-05-16,$5162.35
EUJG466973MVZXIE15,BITR746068AU9,2014-11-19,$2784.92
YIJU192591HYNXBV76,BIHR592094PI5,2015-05-26,$2994.23
EAWP314096HVZECK67,YUNM543473EO7,2015-12-30,$2942.12
XATL726398HZSWBT77,LOUZ278528FN5,2015-04-01,$8087.38
KUKU121813MNEDZU71,PAVT091003YV1,2015-12-10,$3740.37
NOYW112962MTCNHF42,IIKB100592XG4,2018-05-28,$3133.79
GUQO289643MNEUXY97,ZOQM449983DP7,2018-06-26,$7532.22
GUPF771495HNEWSU81,RIHK121705XT6,2017-12-02,$7578.37
GOCI947960MNEHVD79,MOCU168474NZ3,2015-03-17,$6177.87
RUJL041639MYNWDQ23,WUKX892520JD7,2015-06-17,$4804.64
WUFU667443MZSJFS03,TEOS969482OH0,2016-03-12,$2387.99
MUHD825208HNEVLB32,WUKM141057FN8,2016-01-13,$5184.87
COQT052224HZSYUM97,DOHC472307LS9,2016-09-14,$7160.71
QUJB312641MNEZFB84,EUMO955873GX1,2015-11-10,$6637.92
KOPG644873HNEEAR65,RIXW045170XN6,2016-02-08,$5918.69
IUVS025189HNEEBD01,ZUQE815065LZ9,2017-10-12,$8910.03
AUKI760794HVZEKX52,MUKR675375NC5,2015-06-25,$8165.22
KUOB623169MNELKJ46,BOJA673760GS3,2016-12-13,$2907.00
ZIKT389517HNEAFC13,DEWH268806NR5,2015-12-10,$6341.10
JUYD511390MNEAPR51,COSH865735NH0,2017-01-08,$7480.40
NUPK661389MZSWZG41,TUND293325ZG0,2017-03-14,$3789.03
HAPT924797MNEBJG93,FIAV141431QJ2,2016-08-08,$2402.06
NOQE419879HNEZBL21,JEMD005126ZI5,2015-04-10,$2269.04
GUAD954387HTLIMU26,CEPQ170988RV7,2016-01-25,$2145.86
DUQU364652HNEEFI36,TUVI745406XS8,2016-01-01,$7601.71
JIRZ748254MNEEAU05,WULY471964BP3,2017-03-17,$3795.13
GUCB983702MZSFTG91,GONR568504RG7,2018-08-31,$5017.84
RUJE993719HNEXDL76,TAUL472727HM6,2017-03-18,$7650.96
BUJH532348HTLGNP78,LAXF026575FD4,2015-04-30,$2470.53
POUJ631378HNEOYF15,XUNV692743EL6,2017-11-20,$4888.77
VIFJ553397MZSMYD91,AIVW495858TP8,2015-04-25,$7282.83
XUXE834961HYNWRK15,GOAK453379RD7,2018-02-02,$2977.39
LAFG962239MNEINK75,LUQZ435592KY8,2016-06-06,$7345.53
CUSH223972MYNROC94,CEQT020635XP9,2016-11-21,$4593.08
TUBM929126MNEXQJ29,HOWQ580779GP9,2018-03-05,$4510.61
RAJS947728HNEAIL15,ZUIU100377PD9,2017-02-10,$3044.73
TOLW768085HYNJSE00,FUPW244479UJ5,2017-03-20,$8882.98
XUJI466068HVZFHM53,IUGR503105RT9,2017-08-11,$7735.60
IUUR743217HNEDYL92,WUJK340812FB9,2017-10-27,$5357.08
VAOF147833MNESQO54,UUBE078823ML1,2017-08-28,$7142.06
EUGA423129HNENOQ08,MUXR042640UI2,2016-02-24,$5146.42
NEUC704928MVZRGM61,BUMB579386EN1,2015-01-18,$7221.89
XUUO504996MNEVZU57,HEJY791725PC4,2015-11-07,$5694.36
KUQJ965006MNEHRK17,EEUV346394LA8,2017-07-28,$2168.27
KAOR285582MNETLM35,MOQO580337VK0,2017-08-01,$3134.24
