curp,id_repsustituido,fecha_sustitucion,hora_sustitucion,id_rep_preliminar
EOMK966235HMWEZI32,33,2018-08-27,12:23 PM,33
NOME193592MENQYX74,34,2018-08-21,6:45 PM,34
YIWI374520MPYTRA22,35,2018-07-20,1:10 AM,35
REOV561010HLWSGD21,36,2018-02-08,8:57 AM,36
QOAH404583HIATOV69,37,2018-07-07,12:19 PM,37
NUNT275671MFJDLN16,38,2017-12-06,6:49 AM,38
TUZA488319MWDGYX86,39,2018-01-22,5:05 PM,39
VUHV561983MAVBTH38,40,2018-07-25,10:17 PM,40
YIAJ596052MHBNDO81,41,2018-02-03,12:52 AM,41
XUAO705887HNYGZE01,42,2018-04-01,3:08 PM,42
TUJM146262HZCJKX69,43,2018-03-20,9:03 PM,43
JUXJ726651MXWEZF43,44,2018-04-06,10:28 PM,44
ZUWM437542MUXWHM27,45,2018-04-23,7:40 PM,45
YUXZ932762HLERNQ56,46,2017-10-21,7:26 AM,46
KUPI218437MUHWBA50,47,2018-07-01,2:35 AM,47
UUFQ367873HLCNHW75,48,2018-07-07,7:45 AM,48
SUWC199241MTLYWM46,49,2018-08-20,12:06 AM,49
AOVQ670415MUWFAB61,50,2017-11-30,9:31 PM,50
AUKX456989MGVHNC84,51,2018-07-16,10:12 AM,51
CORD684472HAVPLW22,52,2017-11-25,6:50 AM,52
KANB405374MFUSDC79,53,2017-11-30,4:36 PM,53
QIVU916740MKORHE41,54,2018-05-25,7:26 AM,54
EAOW017888MXNUZL33,55,2018-09-04,8:57 AM,55
AUQB861691MEJSAQ42,56,2018-07-29,6:57 AM,56
VUJP913036MWGQMU96,57,2018-04-24,2:40 PM,57
XUYF505912MANVFY14,58,2018-04-28,2:56 PM,58
VENG958950HUIKDN45,59,2018-01-11,4:34 PM,59
IUWJ398218MYIOUM51,60,2018-05-19,10:16 PM,60
HOGY882038MHAZRN15,61,2018-02-04,7:01 PM,61
DUSO998194MEWFMZ76,62,2018-07-17,12:20 PM,62
HOFD053980MHFYIB37,63,2018-08-12,11:34 AM,63
POTZ335907HIBHPG22,64,2018-04-20,10:32 AM,64
GUTJ053658HWPGIJ30,65,2018-06-28,6:26 AM,65
FOFO295241HZRXTS00,66,2018-04-12,9:34 AM,66
UIYN795456HJOIFQ77,67,2018-07-31,10:49 PM,67
TUIT453914MNXTVF59,68,2018-08-08,7:11 PM,68
OIBZ169575MWTSYU85,69,2018-06-05,4:22 PM,69
UOJW333135HMRPVN16,70,2018-10-09,9:16 AM,70
KOZJ254694HMRIKT12,71,2018-01-27,10:39 AM,71
OUJT715865HLKFYB52,72,2018-04-04,12:27 AM,72
LIFC494673MDAFKV45,73,2018-02-09,5:05 AM,73
ZULT626084HKFXIZ43,74,2018-08-05,10:32 AM,74
ZUAG484345HIQJEP51,75,2018-02-07,11:46 PM,75
JONP779277MMDNQP70,76,2018-02-10,9:31 AM,76
OOMO048691MNUJOE24,77,2018-03-17,6:41 AM,77
FIIL594400HHWLYI74,78,2018-09-08,3:24 PM,78
YUNM113273MGBKXM21,79,2018-04-22,1:33 AM,79
VIZF294501HPDZIK33,80,2018-09-28,6:18 AM,80
XUPB498322HECKSD88,81,2018-06-28,6:02 PM,81
JUYJ647736HYGQZB40,82,2018-01-19,6:31 AM,82
AOWK218717MZDHNG98,83,2018-01-23,9:52 AM,83
UUQE666881MEBAFI15,84,2018-03-14,11:04 AM,84
YORF448155MDUAJO63,85,2017-10-29,10:45 PM,85
LEFS732874MNLIPZ97,86,2018-03-14,4:49 PM,86
TOOP315382HHUSOT38,87,2018-07-23,6:29 PM,87
QULW419249HIYOZA73,88,2018-02-13,5:00 AM,88
PUHV853593MPGOKA99,89,2018-06-08,9:22 AM,89
VINV003589HFGRBV16,90,2018-07-05,7:55 PM,90
WOXC537358MDISEQ04,91,2018-05-21,5:20 PM,91
RUQZ526534MLAWBK86,92,2018-07-04,7:38 PM,92
JUIK335996HQIZUH25,93,2018-03-24,8:38 PM,93
MUYU827033MKCULZ78,94,2018-05-05,6:11 AM,94
OOJK015112MFYJDN63,95,2018-10-01,8:54 PM,95
OOMK170892MFECHK93,96,2018-09-08,7:20 PM,96
VIBU580479HCTIVD53,97,2018-01-18,8:47 PM,97
TAPW860087MMFTGW98,98,2018-08-16,2:56 AM,98
JUKP265259HJEOFG63,99,2018-08-19,2:47 PM,99
DUQU184813HCUIMD06,100,2017-12-30,5:05 AM,100
