id_Rep_Preliminar,curp,usuario,fecha_aprobacion,hora_aprobacion
58,XUYF505912MANVFY14,jauchterlony1l,2018-02-05,6:07 AM
59,VENG958950HUIKDN45,iovesen1m,2018-08-20,9:22 AM
60,IUWJ398218MYIOUM51,rmarchi1n,2018-08-08,10:32 PM
61,HOGY882038MHAZRN15,jraine1o,2018-03-17,8:50 PM
62,DUSO998194MEWFMZ76,civons1p,2018-08-15,10:53 AM
63,HOFD053980MHFYIB37,akreber1q,2017-11-03,11:41 PM
64,POTZ335907HIBHPG22,rgianetti1r,2018-06-20,3:20 AM
65,GUTJ053658HWPGIJ30,cbyford1s,2018-09-11,5:29 PM
66,FOFO295241HZRXTS00,oshelf1t,2018-09-26,1:18 AM
67,UIYN795456HJOIFQ77,lkobiela1u,2018-10-03,12:02 PM
68,TUIT453914MNXTVF59,gwareham1v,2018-05-29,4:07 AM
69,OIBZ169575MWTSYU85,gbolduc1w,2018-01-24,8:12 PM
70,UOJW333135HMRPVN16,mdowley1x,2018-01-22,9:26 AM
71,KOZJ254694HMRIKT12,tscrauniage1y,2017-12-12,8:26 AM
72,OUJT715865HLKFYB52,gjocic1z,2018-06-03,8:43 AM
73,LIFC494673MDAFKV45,lyalden20,2018-04-20,2:02 AM
74,ZULT626084HKFXIZ43,dlaxen21,2018-03-04,10:24 PM
75,ZUAG484345HIQJEP51,cpates22,2018-06-06,11:04 PM
76,JONP779277MMDNQP70,jknapp23,2017-10-29,11:13 AM
77,OOMO048691MNUJOE24,sbispham24,2018-08-24,8:12 PM
78,FIIL594400HHWLYI74,abroadfield25,2017-12-27,5:49 PM
79,YUNM113273MGBKXM21,hocurran26,2017-12-08,3:02 AM
80,VIZF294501HPDZIK33,tbantham27,2018-04-03,5:41 PM
81,XUPB498322HECKSD88,gsalery28,2017-12-03,12:47 PM
82,JUYJ647736HYGQZB40,amcilenna29,2018-04-09,5:14 AM
83,AOWK218717MZDHNG98,fyeell2a,2018-08-28,3:45 AM
84,UUQE666881MEBAFI15,tmardoll2b,2018-02-12,10:17 PM
85,YORF448155MDUAJO63,wgrumbridge2c,2017-10-30,4:13 AM
86,LEFS732874MNLIPZ97,aneles2d,2018-06-01,6:57 PM
87,TOOP315382HHUSOT38,eclaasen2e,2018-01-06,9:05 AM
88,QULW419249HIYOZA73,sneem2f,2017-12-11,12:25 AM
89,PUHV853593MPGOKA99,dmatevosian2g,2018-07-21,6:53 AM
90,VINV003589HFGRBV16,kelverstone2h,2018-09-06,6:34 AM
91,WOXC537358MDISEQ04,clechmere2i,2017-12-31,7:04 AM
92,RUQZ526534MLAWBK86,tbeards2j,2018-01-30,9:59 PM
93,JUIK335996HQIZUH25,porlton2k,2018-07-12,8:12 AM
94,MUYU827033MKCULZ78,alanfer2l,2018-02-23,9:25 PM
95,OOJK015112MFYJDN63,corbon2m,2018-04-02,10:04 PM
96,OOMK170892MFECHK93,psouster2n,2018-06-01,8:39 PM
97,VIBU580479HCTIVD53,mcastri2o,2018-08-17,2:48 PM
98,TAPW860087MMFTGW98,abaldery2p,2018-06-18,6:53 PM
99,JUKP265259HJEOFG63,mwildes2q,2018-06-20,7:22 PM
100,DUQU184813HCUIMD06,mjillett2r,2018-05-31,5:45 AM
