estado,numero,calle,seccion,correo,clave_elector
Sinaloa,74,Bay,451,nnunson1p@unicef.org,LJEUWI97122926M528
Morelos,7,International,871,ktaye1q@icio.us,DYZHKN67120928M788
Oaxaca,99,Pearson,641,mfairholme1r@bandcamp.com,TWBNKS73122645H464
Puebla,32,Gina,875,ptogher1s@exblog.jp,PJLAYM90122954H082
Puebla,26,Declaration,495,hjerzykiewicz1t@google.com.hk,GMUSCJ93100941H534
Yucatán,95,Loftsgordon,220,gferfulle1u@epa.gov,GLADRF92120690H782
Quintana Roo,84,Trailsway,278,clainge1v@google.nl,XNYCIB96122129H762
Puebla,9,Homewood,818,stolerton1w@wiley.com,RWKCAS88122910M663
Campeche,56,Mcguire,562,mhenkmann1x@webnode.com,OLAUDY95112923M904
Michoacán,3,Kenwood,453,mkermannes1y@fastcompany.com,XCWFOL80122916H512
Yucatán,52,Independence,793,mcaplis1z@zdnet.com,SAMYVH93121822H211
Ciudad de México,76,Manitowish,324,wackhurst20@wp.com,LDMRZF84092728M081
Campeche,69,Fairview,10,rwhorlow21@w3.org,ECDJLK86120942H387
San Luis Potosí,98,Tennyson,657,srama22@seattletimes.com,YMBIKT85120946H416
Guerrero,12,Welch,437,goppie23@yahoo.com,EUFYXN93122801H706
Morelos,65,Manitowish,23,cvosper24@posterous.com,TFMOAL98111910M522
Puebla,56,Clove,809,cbarbrick25@house.gov,CQJEAV98122745H993
Ciudad de México,3,Eggendart,87,daugustin26@unc.edu,NFBJCZ91092908M999
Campeche,80,Chinook,788,bbygrove27@skype.com,OGRPMX99122422H022
Guerrero,42,Mariners Cove,752,yfieldstone28@hatena.ne.jp,GLKQOP90112936H710
Sinaloa,100,Brickson Park,198,ecoxhead29@webmd.com,BUIGNH89112996H542
Sinaloa,91,Trailsway,103,gyegorchenkov2a@usnews.com,QZHWFK60112928H196
Oaxaca,30,Butterfield,56,fjestico2b@netlog.com,ULDYON61122972H133
Puebla,74,3rd,875,fbee2c@hud.gov,LEBQMX93081975M657
San Luis Potosí,89,Namekagon,946,mpetranek2d@yandex.ru,IYCJNV99122920M708
Morelos,94,Grover,864,dmilington2e@spiegel.de,JBUSYA93101942H336
San Luis Potosí,75,Lindbergh,918,dwiddows2f@google.com,XYFTPQ92122112M307
Oaxaca,54,Bluestem,147,kstallon2g@unesco.org,TBGXHL99121966M978
Yucatán,2,Ludington,745,iodonnell2h@virginia.edu,IVEUMF95081913H936
Oaxaca,12,Sullivan,657,kinsull2i@alexa.com,YJFRZL91122922M224
Yucatán,95,Hansons,603,tlansdown2j@networksolutions.com,PFOAMY86121746H285
Oaxaca,17,Magdeline,161,tverrick2k@statcounter.com,TOUFIW66120911M553
Tlaxcala,41,Twin Pines,818,tantrim2l@paginegialle.it,THPQFY92081789H599
Puebla,34,Rigney,421,mkemmett2m@live.com,KDMQBA96122758M163
Sonora,11,Grasskamp,463,cschoffel2n@jalbum.net,KWBSVH80110687M326
Baja California Sur,6,Sutherland,87,lmedgewick2o@mozilla.org,TYJPEI80100798M193
Ciudad de México,94,Gerald,423,lkruger2p@networkadvertising.org,LIEDMQ93121756M181
Quintana Roo,29,Moose,522,dpentony2q@artisteer.com,ORZFBE92101827H733
Hidalgo,71,Farmco,453,eadenet2r@discuz.net,AFZKEX87122915H416
